"date","product_id","current_stock_level","optimal_stock_quantity"
"2020-01-28","PD1002",64,78
"2020-01-29","PD1002",59,78
"2020-01-30","PD1002",56,78
"2020-01-31","PD1002",55,78
"2020-01-17","PD1003",24,27
"2020-01-18","PD1003",23,27
"2020-01-19","PD1003",21,27
"2020-01-20","PD1003",18,27
"2020-01-21","PD1003",14,27
"2020-01-22","PD1003",13,27
"2020-01-23","PD1003",12,27
"2020-01-15","PD1004",202,230
"2020-01-16","PD1004",169,230
"2020-01-17","PD1004",150,230
"2020-01-18","PD1004",130,230
"2020-01-19","PD1004",111,230
"2020-01-20","PD1004",100,230
"2020-01-21","PD1004",71,230
"2020-01-22","PD1004",53,230
"2020-01-23","PD1004",17,230
"2020-01-06","PD1006",82,86
"2020-01-07","PD1006",80,86
"2020-01-08","PD1006",78,86
"2020-01-09","PD1006",72,86
"2020-01-10","PD1006",72,86
"2020-01-11","PD1006",57,86
"2020-01-12","PD1006",54,86
"2020-01-13","PD1006",52,86
"2020-01-14","PD1006",48,86
"2020-01-15","PD1006",36,86
"2020-01-16","PD1006",35,86
"2020-01-17","PD1006",23,86
"2020-01-18","PD1006",12,86
"2020-01-19","PD1006",11,86
"2020-01-14","PD1007",220,229
"2020-01-15","PD1007",199,229
"2020-01-16","PD1007",157,229
"2020-01-17","PD1007",146,229
"2020-01-18","PD1007",107,229
"2020-01-19","PD1007",73,229
"2020-01-20","PD1007",46,229
"2020-01-21","PD1007",34,229
"2020-01-22","PD1007",20,229
"2020-01-01","PD1008",65,84
"2020-01-02","PD1008",61,84
"2020-01-03","PD1008",61,84
"2020-01-04","PD1008",51,84
"2020-01-05","PD1008",42,84
"2020-01-06","PD1008",31,84
"2020-01-07","PD1008",30,84
"2020-01-08","PD1008",27,84
"2020-01-09","PD1008",12,84
"2020-01-13","PD1009",74,79
"2020-01-14","PD1009",65,79
"2020-01-15","PD1009",60,79
"2020-01-16","PD1009",55,79
"2020-01-17","PD1009",40,79
"2020-01-18","PD1009",31,79
"2020-01-19","PD1009",20,79
"2020-01-20","PD1009",13,79
"2020-01-21","PD1009",12,79
"2020-01-22","PD1009",11,79
