"date","product_id","current_stock_level","optimal_stock_quantity","recommendation"
"2020-01-01 00:00:00","PD1001",395,34,"Reduce stock level"
"2020-01-02 00:00:00","PD1001",395,34,"Reduce stock level"
"2020-01-03 00:00:00","PD1001",394,34,"Reduce stock level"
"2020-01-04 00:00:00","PD1001",394,34,"Reduce stock level"
"2020-01-05 00:00:00","PD1001",394,34,"Reduce stock level"
"2020-01-06 00:00:00","PD1001",394,34,"Reduce stock level"
"2020-01-07 00:00:00","PD1001",394,34,"Reduce stock level"
"2020-01-08 00:00:00","PD1001",389,34,"Reduce stock level"
"2020-01-09 00:00:00","PD1001",389,34,"Reduce stock level"
"2020-01-10 00:00:00","PD1001",387,34,"Reduce stock level"
"2020-01-11 00:00:00","PD1001",387,34,"Reduce stock level"
"2020-01-12 00:00:00","PD1001",386,34,"Reduce stock level"
"2020-01-13 00:00:00","PD1001",380,34,"Reduce stock level"
"2020-01-14 00:00:00","PD1001",378,34,"Reduce stock level"
"2020-01-15 00:00:00","PD1001",377,34,"Reduce stock level"
"2020-01-16 00:00:00","PD1001",375,34,"Reduce stock level"
"2020-01-17 00:00:00","PD1001",375,34,"Reduce stock level"
"2020-01-18 00:00:00","PD1001",375,34,"Reduce stock level"
"2020-01-19 00:00:00","PD1001",375,34,"Reduce stock level"
"2020-01-20 00:00:00","PD1001",369,34,"Reduce stock level"
"2020-01-21 00:00:00","PD1001",363,34,"Reduce stock level"
"2020-01-22 00:00:00","PD1001",357,34,"Reduce stock level"
"2020-01-23 00:00:00","PD1001",357,34,"Reduce stock level"
"2020-01-24 00:00:00","PD1001",354,34,"Reduce stock level"
"2020-01-25 00:00:00","PD1001",350,34,"Reduce stock level"
"2020-01-26 00:00:00","PD1001",345,34,"Reduce stock level"
"2020-01-27 00:00:00","PD1001",338,34,"Reduce stock level"
"2020-01-28 00:00:00","PD1001",331,34,"Reduce stock level"
"2020-01-29 00:00:00","PD1001",331,34,"Reduce stock level"
"2020-01-30 00:00:00","PD1001",331,34,"Reduce stock level"
"2020-01-31 00:00:00","PD1001",331,34,"Reduce stock level"
"2020-01-01 00:00:00","PD1002",237,78,"Reduce stock level"
"2020-01-02 00:00:00","PD1002",237,78,"Reduce stock level"
"2020-01-03 00:00:00","PD1002",233,78,"Reduce stock level"
"2020-01-04 00:00:00","PD1002",224,78,"Reduce stock level"
"2020-01-05 00:00:00","PD1002",219,78,"Reduce stock level"
"2020-01-06 00:00:00","PD1002",217,78,"Reduce stock level"
"2020-01-07 00:00:00","PD1002",206,78,"Reduce stock level"
"2020-01-08 00:00:00","PD1002",196,78,"Reduce stock level"
"2020-01-09 00:00:00","PD1002",195,78,"Reduce stock level"
"2020-01-10 00:00:00","PD1002",193,78,"Reduce stock level"
"2020-01-11 00:00:00","PD1002",183,78,"Reduce stock level"
"2020-01-12 00:00:00","PD1002",182,78,"Reduce stock level"
"2020-01-13 00:00:00","PD1002",164,78,"Reduce stock level"
"2020-01-14 00:00:00","PD1002",159,78,"Reduce stock level"
"2020-01-15 00:00:00","PD1002",156,78,"Reduce stock level"
"2020-01-16 00:00:00","PD1002",154,78,"Reduce stock level"
"2020-01-17 00:00:00","PD1002",154,78,"Reduce stock level"
"2020-01-18 00:00:00","PD1002",144,78,"Reduce stock level"
"2020-01-19 00:00:00","PD1002",141,78,"Reduce stock level"
"2020-01-20 00:00:00","PD1002",134,78,"Reduce stock level"
"2020-01-21 00:00:00","PD1002",129,78,"Reduce stock level"
"2020-01-22 00:00:00","PD1002",118,78,"Reduce stock level"
"2020-01-23 00:00:00","PD1002",105,78,"Reduce stock level"
"2020-01-24 00:00:00","PD1002",104,78,"Reduce stock level"
"2020-01-25 00:00:00","PD1002",90,78,"Reduce stock level"
"2020-01-26 00:00:00","PD1002",80,78,"Reduce stock level"
"2020-01-27 00:00:00","PD1002",79,78,"Reduce stock level"
"2020-01-01 00:00:00","PD1003",66,27,"Reduce stock level"
"2020-01-02 00:00:00","PD1003",62,27,"Reduce stock level"
"2020-01-03 00:00:00","PD1003",59,27,"Reduce stock level"
"2020-01-04 00:00:00","PD1003",55,27,"Reduce stock level"
"2020-01-05 00:00:00","PD1003",53,27,"Reduce stock level"
"2020-01-06 00:00:00","PD1003",49,27,"Reduce stock level"
"2020-01-07 00:00:00","PD1003",47,27,"Reduce stock level"
"2020-01-08 00:00:00","PD1003",45,27,"Reduce stock level"
"2020-01-09 00:00:00","PD1003",44,27,"Reduce stock level"
"2020-01-10 00:00:00","PD1003",43,27,"Reduce stock level"
"2020-01-11 00:00:00","PD1003",41,27,"Reduce stock level"
"2020-01-12 00:00:00","PD1003",41,27,"Reduce stock level"
"2020-01-13 00:00:00","PD1003",37,27,"Reduce stock level"
"2020-01-14 00:00:00","PD1003",33,27,"Reduce stock level"
"2020-01-15 00:00:00","PD1003",30,27,"Reduce stock level"
"2020-01-24 00:00:00","PD1003",500,27,"Reduce stock level"
"2020-01-25 00:00:00","PD1003",500,27,"Reduce stock level"
"2020-01-26 00:00:00","PD1003",496,27,"Reduce stock level"
"2020-01-27 00:00:00","PD1003",492,27,"Reduce stock level"
"2020-01-28 00:00:00","PD1003",491,27,"Reduce stock level"
"2020-01-29 00:00:00","PD1003",491,27,"Reduce stock level"
"2020-01-30 00:00:00","PD1003",488,27,"Reduce stock level"
"2020-01-31 00:00:00","PD1003",486,27,"Reduce stock level"
"2020-01-01 00:00:00","PD1004",500,230,"Reduce stock level"
"2020-01-02 00:00:00","PD1004",488,230,"Reduce stock level"
"2020-01-03 00:00:00","PD1004",475,230,"Reduce stock level"
"2020-01-04 00:00:00","PD1004",435,230,"Reduce stock level"
"2020-01-05 00:00:00","PD1004",402,230,"Reduce stock level"
"2020-01-06 00:00:00","PD1004",386,230,"Reduce stock level"
"2020-01-07 00:00:00","PD1004",357,230,"Reduce stock level"
"2020-01-08 00:00:00","PD1004",336,230,"Reduce stock level"
"2020-01-09 00:00:00","PD1004",325,230,"Reduce stock level"
"2020-01-10 00:00:00","PD1004",308,230,"Reduce stock level"
"2020-01-11 00:00:00","PD1004",290,230,"Reduce stock level"
"2020-01-12 00:00:00","PD1004",271,230,"Reduce stock level"
"2020-01-13 00:00:00","PD1004",244,230,"Reduce stock level"
"2020-01-14 00:00:00","PD1004",231,230,"Reduce stock level"
"2020-01-24 00:00:00","PD1004",500,230,"Reduce stock level"
"2020-01-25 00:00:00","PD1004",463,230,"Reduce stock level"
"2020-01-26 00:00:00","PD1004",442,230,"Reduce stock level"
"2020-01-27 00:00:00","PD1004",404,230,"Reduce stock level"
"2020-01-28 00:00:00","PD1004",390,230,"Reduce stock level"
"2020-01-29 00:00:00","PD1004",372,230,"Reduce stock level"
"2020-01-30 00:00:00","PD1004",351,230,"Reduce stock level"
"2020-01-31 00:00:00","PD1004",317,230,"Reduce stock level"
"2020-01-01 00:00:00","PD1005",224,28,"Reduce stock level"
"2020-01-02 00:00:00","PD1005",220,28,"Reduce stock level"
"2020-01-03 00:00:00","PD1005",220,28,"Reduce stock level"
"2020-01-04 00:00:00","PD1005",218,28,"Reduce stock level"
"2020-01-05 00:00:00","PD1005",214,28,"Reduce stock level"
"2020-01-06 00:00:00","PD1005",211,28,"Reduce stock level"
"2020-01-07 00:00:00","PD1005",210,28,"Reduce stock level"
"2020-01-08 00:00:00","PD1005",207,28,"Reduce stock level"
"2020-01-09 00:00:00","PD1005",203,28,"Reduce stock level"
"2020-01-10 00:00:00","PD1005",201,28,"Reduce stock level"
"2020-01-11 00:00:00","PD1005",199,28,"Reduce stock level"
"2020-01-12 00:00:00","PD1005",197,28,"Reduce stock level"
"2020-01-13 00:00:00","PD1005",193,28,"Reduce stock level"
"2020-01-14 00:00:00","PD1005",190,28,"Reduce stock level"
"2020-01-15 00:00:00","PD1005",186,28,"Reduce stock level"
"2020-01-16 00:00:00","PD1005",183,28,"Reduce stock level"
"2020-01-17 00:00:00","PD1005",180,28,"Reduce stock level"
"2020-01-18 00:00:00","PD1005",177,28,"Reduce stock level"
