"CustomerID","ProductID","RecommendedProducts","Purchases","Searches"
"C1001","PD1001","['PD1003', 'PD1005']",13,17
"C1001","PD1002","['PD1006', 'PD1008']",16,42
"C1001","PD1003","['PD1001', 'PD1007']",7,35
"C1001","PD1004","['PD1002', 'PD1009']",24,25
"C1001","PD1005","['PD1001', 'PD1010']",10,10
"C1001","PD1006","[]",24,47
"C1001","PD1007","[]",2,7
"C1001","PD1008","[]",0,0
"C1001","PD1009","[]",23,40
"C1001","PD1010","[]",30,32
"C1002","PD1001","['PD1003', 'PD1005']",24,45
"C1002","PD1002","['PD1006', 'PD1008']",26,30
"C1002","PD1003","['PD1001', 'PD1007']",20,26
"C1002","PD1004","['PD1002', 'PD1009']",20,20
"C1002","PD1005","['PD1001', 'PD1010']",11,49
"C1002","PD1006","[]",29,48
"C1002","PD1007","[]",15,18
"C1002","PD1008","[]",0,3
"C1002","PD1009","[]",17,46
"C1002","PD1010","[]",32,32
"C1003","PD1001","['PD1003', 'PD1005']",25,48
"C1003","PD1002","['PD1006', 'PD1008']",1,1
"C1003","PD1003","['PD1001', 'PD1007']",1,13
"C1003","PD1004","['PD1002', 'PD1009']",3,49
"C1003","PD1005","['PD1001', 'PD1010']",8,13
"C1003","PD1006","[]",33,40
"C1003","PD1007","[]",0,7
"C1003","PD1008","[]",0,32
"C1003","PD1009","[]",3,9
"C1003","PD1010","[]",20,21
"C1004","PD1001","['PD1003', 'PD1005']",22,30
"C1004","PD1002","['PD1006', 'PD1008']",28,32
"C1004","PD1003","['PD1001', 'PD1007']",25,41
"C1004","PD1004","['PD1002', 'PD1009']",3,19
"C1004","PD1005","['PD1001', 'PD1010']",15,24
"C1004","PD1006","[]",10,15
"C1004","PD1007","[]",16,25
"C1004","PD1008","[]",5,5
"C1004","PD1009","[]",9,45
"C1004","PD1010","[]",2,21
"C1005","PD1001","['PD1003', 'PD1005']",1,35
"C1005","PD1002","['PD1006', 'PD1008']",10,12
"C1005","PD1003","['PD1001', 'PD1007']",1,36
"C1005","PD1004","['PD1002', 'PD1009']",0,38
"C1005","PD1005","['PD1001', 'PD1010']",5,22
"C1005","PD1006","[]",3,8
"C1005","PD1007","[]",10,33
"C1005","PD1008","[]",35,42
"C1005","PD1009","[]",3,46
"C1005","PD1010","[]",37,50
