Date,Product Name,Current Stock Level,Optimal Stock Quantity
2020-01-01,Face Serum,395,34
2020-01-02,Face Serum,395,34
2020-01-03,Face Serum,394,34
2020-01-04,Face Serum,394,34
2020-01-05,Face Serum,394,34
2020-01-06,Face Serum,394,34
2020-01-07,Face Serum,394,34
2020-01-08,Face Serum,389,34
2020-01-09,Face Serum,389,34
2020-01-10,Face Serum,387,34
2020-01-11,Face Serum,387,34
2020-01-12,Face Serum,386,34
2020-01-13,Face Serum,380,34
2020-01-14,Face Serum,378,34
2020-01-15,Face Serum,377,34
2020-01-16,Face Serum,375,34
2020-01-17,Face Serum,375,34
2020-01-18,Face Serum,375,34
2020-01-19,Face Serum,375,34
2020-01-20,Face Serum,369,34
2020-01-21,Face Serum,363,34
2020-01-22,Face Serum,357,34
2020-01-23,Face Serum,357,34
2020-01-24,Face Serum,354,34
2020-01-25,Face Serum,350,34
2020-01-26,Face Serum,345,34
2020-01-27,Face Serum,338,34
2020-01-28,Face Serum,331,34
2020-01-29,Face Serum,331,34
2020-01-30,Face Serum,331,34
2020-01-31,Face Serum,331,34
2020-01-01,Gaming Mouse,237,78
2020-01-02,Gaming Mouse,237,78
2020-01-03,Gaming Mouse,233,78
2020-01-04,Gaming Mouse,224,78
2020-01-05,Gaming Mouse,219,78
2020-01-06,Gaming Mouse,217,78
2020-01-07,Gaming Mouse,206,78
2020-01-08,Gaming Mouse,196,78
2020-01-09,Gaming Mouse,195,78
2020-01-10,Gaming Mouse,193,78
2020-01-11,Gaming Mouse,183,78
2020-01-12,Gaming Mouse,182,78
2020-01-13,Gaming Mouse,164,78
2020-01-14,Gaming Mouse,159,78
2020-01-15,Gaming Mouse,156,78
2020-01-16,Gaming Mouse,154,78
2020-01-17,Gaming Mouse,154,78
2020-01-18,Gaming Mouse,144,78
2020-01-19,Gaming Mouse,141,78
2020-01-20,Gaming Mouse,134,78
2020-01-21,Gaming Mouse,129,78
2020-01-22,Gaming Mouse,118,78
2020-01-23,Gaming Mouse,105,78
2020-01-24,Gaming Mouse,104,78
2020-01-25,Gaming Mouse,90,78
2020-01-26,Gaming Mouse,80,78
2020-01-27,Gaming Mouse,79,78
2020-01-01,Power Bank,66,27
2020-01-02,Power Bank,62,27
2020-01-03,Power Bank,59,27
2020-01-04,Power Bank,55,27
2020-01-05,Power Bank,53,27
2020-01-06,Power Bank,49,27
2020-01-07,Power Bank,47,27
2020-01-08,Power Bank,45,27
2020-01-09,Power Bank,44,27
2020-01-10,Power Bank,43,27
2020-01-11,Power Bank,41,27
2020-01-12,Power Bank,41,27
2020-01-13,Power Bank,37,27
2020-01-14,Power Bank,33,27
2020-01-15,Power Bank,30,27
2020-01-24,Power Bank,500,27
2020-01-25,Power Bank,500,27
2020-01-26,Power Bank,496,27
2020-01-27,Power Bank,492,27
2020-01-28,Power Bank,491,27
2020-01-29,Power Bank,491,27
2020-01-30,Power Bank,488,27
2020-01-31,Power Bank,486,27
2020-01-01,Scented Candles,500,230
2020-01-02,Scented Candles,488,230
2020-01-03,Scented Candles,475,230
2020-01-04,Scented Candles,435,230
2020-01-05,Scented Candles,402,230
2020-01-06,Scented Candles,386,230
2020-01-07,Scented Candles,357,230
2020-01-08,Scented Candles,336,230
2020-01-09,Scented Candles,325,230
2020-01-10,Scented Candles,308,230
2020-01-11,Scented Candles,290,230
2020-01-12,Scented Candles,271,230
2020-01-13,Scented Candles,244,230
2020-01-14,Scented Candles,231,230
2020-01-24,Scented Candles,500,230
2020-01-25,Scented Candles,463,230
2020-01-26,Scented Candles,442,230
2020-01-27,Scented Candles,404,230
2020-01-28,Scented Candles,390,230
2020-01-29,Scented Candles,372,230
2020-01-30,Scented Candles,351,230
2020-01-31,Scented Candles,317,230
2020-01-01,Wireless Earbuds,224,28
2020-01-02,Wireless Earbuds,220,28
2020-01-03,Wireless Earbuds,220,28
2020-01-04,Wireless Earbuds,218,28
2020-01-05,Wireless Earbuds,214,28
2020-01-06,Wireless Earbuds,211,28
2020-01-07,Wireless Earbuds,210,28
2020-01-08,Wireless Earbuds,207,28
2020-01-09,Wireless Earbuds,203,28
2020-01-10,Wireless Earbuds,201,28
2020-01-11,Wireless Earbuds,199,28
2020-01-12,Wireless Earbuds,197,28
2020-01-13,Wireless Earbuds,193,28
2020-01-14,Wireless Earbuds,190,28
2020-01-15,Wireless Earbuds,186,28
2020-01-16,Wireless Earbuds,183,28
2020-01-17,Wireless Earbuds,180,28
2020-01-18,Wireless Earbuds,177,28
2020-01-19,Wireless Earbuds,173,28
2020-01-20,Wireless Earbuds,173,28
2020-01-21,Wireless Earbuds,170,28
2020-01-22,Wireless Earbuds,167,28
2020-01-23,Wireless Earbuds,165,28
2020-01-24,Wireless Earbuds,163,28
2020-01-25,Wireless Earbuds,161,28
2020-01-26,Wireless Earbuds,157,28
2020-01-27,Wireless Earbuds,153,28
2020-01-28,Wireless Earbuds,150,28
2020-01-29,Wireless Earbuds,147,28
2020-01-30,Wireless Earbuds,144,28
2020-01-31,Wireless Earbuds,140,28
2020-01-01,Yoga Mat,136,86
2020-01-02,Yoga Mat,126,86
2020-01-03,Yoga Mat,116,86
2020-01-04,Yoga Mat,111,86
2020-01-05,Yoga Mat,99,86
2020-01-20,Yoga Mat,500,86
2020-01-21,Yoga Mat,495,86
2020-01-22,Yoga Mat,490,86
2020-01-23,Yoga Mat,486,86
2020-01-24,Yoga Mat,480,86
2020-01-25,Yoga Mat,464,86
2020-01-26,Yoga Mat,462,86
2020-01-27,Yoga Mat,462,86
2020-01-28,Yoga Mat,454,86
2020-01-29,Yoga Mat,441,86
2020-01-30,Yoga Mat,426,86
2020-01-31,Yoga Mat,421,86
2020-01-01,Hydro Bottle,500,229
2020-01-02,Hydro Bottle,472,229
2020-01-03,Hydro Bottle,454,229
2020-01-04,Hydro Bottle,434,229
2020-01-05,Hydro Bottle,423,229
2020-01-06,Hydro Bottle,403,229
2020-01-07,Hydro Bottle,385,229
2020-01-08,Hydro Bottle,356,229
2020-01-09,Hydro Bottle,328,229
2020-01-10,Hydro Bottle,310,229
2020-01-11,Hydro Bottle,289,229
2020-01-12,Hydro Bottle,263,229
2020-01-13,Hydro Bottle,252,229
2020-01-23,Hydro Bottle,500,229
2020-01-24,Hydro Bottle,488,229
2020-01-25,Hydro Bottle,470,229
2020-01-26,Hydro Bottle,449,229
2020-01-27,Hydro Bottle,425,229
2020-01-28,Hydro Bottle,412,229
2020-01-29,Hydro Bottle,392,229
2020-01-30,Hydro Bottle,362,229
2020-01-31,Hydro Bottle,319,229
2020-01-10,Running Shoes,500,84
2020-01-11,Running Shoes,493,84
2020-01-12,Running Shoes,487,84
2020-01-13,Running Shoes,478,84
2020-01-14,Running Shoes,476,84
2020-01-15,Running Shoes,467,84
2020-01-16,Running Shoes,461,84
2020-01-17,Running Shoes,457,84
2020-01-18,Running Shoes,456,84
2020-01-19,Running Shoes,454,84
2020-01-20,Running Shoes,445,84
2020-01-21,Running Shoes,431,84
2020-01-22,Running Shoes,431,84
2020-01-23,Running Shoes,422,84
2020-01-24,Running Shoes,413,84
2020-01-25,Running Shoes,412,84
2020-01-26,Running Shoes,406,84
2020-01-27,Running Shoes,404,84
2020-01-28,Running Shoes,389,84
2020-01-29,Running Shoes,385,84
2020-01-30,Running Shoes,369,84
2020-01-31,Running Shoes,352,84
2020-01-01,Cotton Sheets,161,79
2020-01-02,Cotton Sheets,155,79
2020-01-03,Cotton Sheets,155,79
2020-01-04,Cotton Sheets,147,79
2020-01-05,Cotton Sheets,141,79
2020-01-06,Cotton Sheets,136,79
2020-01-07,Cotton Sheets,134,79
2020-01-08,Cotton Sheets,128,79
2020-01-09,Cotton Sheets,112,79
2020-01-10,Cotton Sheets,104,79
2020-01-11,Cotton Sheets,94,79
2020-01-12,Cotton Sheets,92,79
2020-01-23,Cotton Sheets,500,79
2020-01-24,Cotton Sheets,496,79
2020-01-25,Cotton Sheets,489,79
2020-01-26,Cotton Sheets,484,79
2020-01-27,Cotton Sheets,478,79
2020-01-28,Cotton Sheets,478,79
2020-01-29,Cotton Sheets,478,79
2020-01-30,Cotton Sheets,472,79
2020-01-31,Cotton Sheets,469,79
2020-01-01,Comfort Pillow,347,29
2020-01-02,Comfort Pillow,343,29
2020-01-03,Comfort Pillow,339,29
2020-01-04,Comfort Pillow,335,29
2020-01-05,Comfort Pillow,334,29
2020-01-06,Comfort Pillow,330,29
2020-01-07,Comfort Pillow,328,29
2020-01-08,Comfort Pillow,326,29
2020-01-09,Comfort Pillow,323,29
2020-01-10,Comfort Pillow,319,29
2020-01-11,Comfort Pillow,315,29
2020-01-12,Comfort Pillow,312,29
2020-01-13,Comfort Pillow,308,29
2020-01-14,Comfort Pillow,306,29
2020-01-15,Comfort Pillow,306,29
2020-01-16,Comfort Pillow,303,29
2020-01-17,Comfort Pillow,302,29
2020-01-18,Comfort Pillow,299,29
2020-01-19,Comfort Pillow,295,29
2020-01-20,Comfort Pillow,293,29
2020-01-21,Comfort Pillow,291,29
2020-01-22,Comfort Pillow,287,29
2020-01-23,Comfort Pillow,284,29
2020-01-24,Comfort Pillow,284,29
2020-01-25,Comfort Pillow,283,29
2020-01-26,Comfort Pillow,283,29
2020-01-27,Comfort Pillow,279,29
2020-01-28,Comfort Pillow,279,29
2020-01-29,Comfort Pillow,276,29
2020-01-30,Comfort Pillow,273,29
2020-01-31,Comfort Pillow,269,29
